[2025-07-18 09:55:31] SUIUSDT (linear) - 6.4x, цена: 4.182, Объем: 9,086,090 USD
[2025-07-18 09:55:30] PIXELUSDT (linear) - 3.1x, цена: 0.046, Объем: 1,668,971 USD
[2025-07-18 09:55:30] DEEPUSDT (linear) - 3.2x, цена: 0.215, Объем: 2,868,830 USD
[2025-07-18 09:55:29] 1INCHUSDT (linear) - 3.2x, цена: 0.334, Объем: 2,611,141 USD
[2025-07-18 09:49:22] DENTUSDT (linear) - 7.4x, цена: 0.001, Объем: 44,839,300 USD
[2025-07-18 09:43:30] IMXUSDT (linear) - 10.8x, цена: 0.611, Объем: 1,096,128 USD
[2025-07-18 09:35:46] DGBUSDT (linear) - 4.0x, цена: 0.010, Объем: 2,477,660 USD
[2025-07-18 09:30:17] ALUUSDT (linear) - 3.2x, цена: 0.010, Объем: 28,315,893 USD
[2025-07-18 09:30:16] ALTUSDT (linear) - 3.2x, цена: 0.036, Объем: 6,864,398 USD
[2025-07-18 09:25:00] ROSEUSDT (linear) - 3.2x, цена: 0.031, Объем: 3,729,388 USD
[2025-07-18 09:25:00] 1000BTTUSDT (linear) - 4.0x, цена: 0.001, Объем: 29,642,600 USD
[2025-07-18 09:17:51] ETHBTCUSDT (linear) - 4.2x, цена: 0.030, Объем: 6,065,150 USD
[2025-07-18 09:17:50] ALUUSDT (linear) - 3.5x, цена: 0.010, Объем: 31,176,549 USD
[2025-07-18 09:13:03] CELRUSDT (linear) - 3.9x, цена: 0.009, Объем: 1,939,708 USD
[2025-07-18 09:06:32] ROSEUSDT (linear) - 3.8x, цена: 0.031, Объем: 4,361,805 USD
[2025-07-18 09:06:31] PIPPINUSDT (linear) - 3.0x, цена: 0.020, Объем: 5,382,524 USD
[2025-07-18 09:06:31] IMXUSDT (linear) - 13.2x, цена: 0.607, Объем: 1,340,796 USD
[2025-07-18 08:47:47] AIXBTUSDT (linear) - 3.9x, цена: 0.175, Объем: 5,932,000 USD
[2025-07-18 08:29:31] GIGAUSDT (linear) - 3.7x, цена: 0.022, Объем: 13,498,330 USD
